code,market,cn_name,revenue_growth,revenue_conf,net_profit,net_conf,ocf_change,ocf_conf,core_driver,driver_conf,core_risk,risk_conf,overall_conf,file
000001,SZ,平安银行,+53.3%,mid,-5.9%,mid,,missing,贷款利率下行与结构调整,high,[贷款利率下行与结构调整],mid,missing,000001_SZ_平安银行.md
000002,SZ,万__科Ａ,,missing,,missing,,missing,高地价项目进入结算周期,high,[高地价项目进入结算周期],mid,missing,000002_SZ_万__科Ａ.md
000006,SZ,深振业Ａ,-56.83%,high,,missing,-83.04%,high,结转规模大幅缩减,high,[结转规模大幅缩减],mid,missing,000006_SZ_深振业Ａ.md
000008,SZ,神州高铁,+72.69%,high,,missing,-51.55%,high,资产减值集中爆发,high,[资产减值集中爆发],high,missing,000008_SZ_神州高铁.md
000011,SZ,深物业A,+2.68%,mid,亏,low,,missing,房地产行业深度调整,high,[房地产行业深度调整],mid,missing,000011_SZ_深物业A.md
000014,SZ,沙河股份,,missing,-13.35%,mid,+127.06%,high,,missing,房地产销售单价下降及计提存货跌价准备,mid,missing,000014_SZ_沙河股份.md
000017,SZ,深中华A,+27.15%,mid,+144.16%,high,,missing,珠宝黄金业务收入增长27.15%,high,[珠宝黄金业务收入增长27.15%],mid,missing,000017_SZ_深中华A.md
000020,SZ,深华发Ａ,+5.05%,high,,missing,,missing,显示器出口放量,high,[注塑业务产品结构升级],mid,missing,000020_SZ_深华发Ａ.md
000025,SZ,特__力Ａ,+12.59%,mid,,missing,-16.02%,high,,missing,国际金价持续攀升（从约2600美元/盎司涨至超4300美元/,mid,missing,000025_SZ_特__力Ａ.md
000026,SZ,飞亚达,+7.08%,mid,-60.37%,high,,missing,国内手表消费市场持续承压,high,[国内手表消费市场持续承压],mid,missing,000026_SZ_飞亚达.md
000027,SZ,深圳能源,+5.38%,high,+11.03%,high,↑,low,,missing,清洁能源装机占比提升至76.48%,mid,missing,000027_SZ_深圳能源.md
000028,SZ,国药一致,,missing,+76.8%,high,-49.91%,high,商誉及无形资产减值损失大幅减少,high,[商誉及无形资产减值损失大幅减少],high,missing,000028_SZ_国药一致.md
